EmployeeID,Department,Position,Education,Age,Gender,Salary,HireDate
1113,HR,Analyst,Bachelor,25,F," R$ 6,650.21 ",2014-10-23
1114,HR,Coordinator,Bachelor,28,F," R$ 7,750.05 ",2016-06-18
1115,Legal,Manager,Master,23,M," R$ 14,194.68 ",2019-07-06
1116,Marketing,Analyst,Bachelor,36,F," R$ 9,524.86 ",27/12/2013
1117,HR,Assistant,High School,57,F," R$ 8,722.08 ",2011-01-07
1118,Legal,Director,PhD,30, ," R$ 16,333.83 ",2017-04-28
1119,Logistics,Specialist,Master,45,F," R$ 6,431.03 ",22/12/2010
1120,Operations,Analyst,Bachelor,27,M," R$ 7,611.01 ",2023-10-05
1121,IT,Coordinator,Bachelor,28,F," R$ 11,005.66 ",2013-06-01
1122,IT,Specialist,Master,37,F," R$ 13,738.37 ",2017-06-06
1123,HR,Director,PhD,38,," R$ 7,046.57 ",2011-07-17
1124,Finance,Specialist,Master,51,M," R$ 23,336.29 ",2011-09-24
1125,IT,Coordinator,Bachelor,29,M," R$ 10,881.14 ",2012-12-14
1126,Operations,Manager,Master,24,M," R$ 7,409.67 ",2018-01-17
1127,HR,Manager,Master,46,M," R$ 7,846.62 ",06/06/2018
1128,HR,Specialist,Master,50,M," R$ 7,971.75 ",2017-07-09
1129,Logistics, ,,42,F," R$ 7,848.61 ",2015-09-15
1130,Marketing,Specialist,Master,27,M," R$ 9,078.48 ",26/05/2020
1131,Finance,Specialist,Master,44,F," R$ 21,203.82 ",2020-01-02
1132,HR,Specialist,Master,32,M," R$ 6,476.12 ",2012-01-17
1133,Logistics,Analyst,Bachelor,27,M," R$ 5,765.17 ",14/06/2011
1134,Legal,Analyst,Bachelor,48,F," R$ 19,722.06 ",27/12/2016
1135,,Director,PhD,48,M," R$ 10,221.19 ",22/01/2013
1136,Marketing,Specialist,Master,34,F," R$ 8,878.55 ",2022-01-09
1137,Legal,Manager,Master,30,M," R$ 16,337.35 ",2016-07-05
1138,,Manager,Master,29,M," R$ 15,766.90 ",16/05/2021
1139,Finance,Manager,Master,48,M," R$ 20,032.50 ",25/06/2010
1140,IT,Coordinator,Bachelor,53,M," R$ 15,879.90 ",2023-11-14
1141,HR,Specialist,Master,50,M," R$ 7,333.91 ",29/08/2015
1142,Operations,Manager,Master,54,M," R$ 11,237.73 ",2017-03-09
1143,Marketing,Analyst,Bachelor,26,F," R$ 9,087.65 ",2010-08-15
1144,HR,Coordinator,Bachelor,59,F," R$ 10,240.95 ",14/06/2012
1145,Logistics,Manager,Master,30,F," R$ 6,209.19 ",04/04/2021
1146,Finance,Specialist,Master,34,F," R$ 15,886.87 ",2016-07-30
1147,IT,Coordinator,Bachelor,54,F," R$ 14,024.18 ",2018-08-16
1148,Operations,Assistant,High School,51,M, ,08/02/2012
1149,Logistics,Assistant,High School,46,M," R$ 6,260.83 ",2020-11-27
1150,Legal,Analyst,Bachelor,27,M," R$ 13,789.40 ",2022-07-18
1151,IT,Director,PhD,60,M," R$ 15,719.50 ",2012-11-11
1152,HR,Specialist,Master,31,F," R$ 6,748.57 ",2011-09-29
1153,Marketing,Assistant,High School,57,F," R$ 11,870.95 ",2022-07-12
1154,Marketing,Coordinator,Bachelor,40,F," R$ 10,983.58 ",2015-02-19
1155,IT,Specialist,Master,32,F," R$ 13,348.97 ",2021-04-23
1156,IT,Director,PhD,38,M," R$ 12,631.17 ",2023-08-24
1157,IT,Analyst,Bachelor,23, ," R$ 10,863.57 ",04/01/2016
1158,Logistics,Coordinator,Bachelor,28,F," R$ 5,336.93 ",2017-09-14
1159,Finance,Assistant,High School,62,," R$ 22,554.04 ",2022-08-23
1160,Marketing,Manager,Master,52,F,,2023-05-18
1161,Logistics,Director,PhD,52,M," R$ 7,283.71 ",18/02/2014
1162,Legal,Specialist,Master,38,M," R$ 15,831.60 ",10/10/2017
1163,Finance,Assistant,High School,36,M," R$ 19,114.32 ",2020-12-20
1164,Finance,Coordinator,Bachelor,28,M," R$ 17,472.52 ",2011-04-11
1165,Marketing,,Master,51,F," R$ 11,306.78 ",2013-02-16
1166,HR,Manager,Master,60,F," R$ 9,681.19 ",2016-07-01
1167,HR,Technician,Technical Diploma,35,F," R$ 7,062.45 ",29/04/2014
1168,Marketing,Director,PhD,52,M," R$ 13,039.23 ",2013-04-11
1169,HR,Technician,Technical Diploma,30,F," R$ 6,918.07 ",2010-09-24
1170,Logistics,Manager,Master,30,M," R$ 5,911.96 ",2022-02-20
1171,Marketing,Manager,Master,23,M," R$ 8,018.31 ",2012-02-03
1172,,Specialist,Master,43,F," R$ 8,239.58 ",10/05/2023
1173,Marketing,Director,PhD,37,F," R$ 8,461.51 ",2013-12-29
1174,Marketing,Analyst,Bachelor,23,F," R$ 8,038.07 ",2015-07-10
1175,Legal,Assistant,High School,36,M," R$ 17,030.31 ",2017-04-28
1176,IT,Assistant,High School,27,M," R$ 10,913.69 ",2019-09-23
1177,Marketing,Specialist,Master,44,M,,2018-07-28
1178,Marketing,Director,PhD,49,F," R$ 12,350.05 ",2012-04-17
1179,Operations,Manager,Master,64,M," R$ 12,427.38 ",2010-03-01
1180,Operations,Director,PhD,38,F," R$ 9,928.32 ",2015-10-14
1181,Operations,Manager,Master,57,M," R$ 11,747.01 ",2022-10-29
1182,IT,Director,PhD,40,F," R$ 12,779.39 ",2012-10-13
1183,HR,Manager,Master,26,F," R$ 6,282.93 ",2010-03-15
1184,Finance,Technician,Technical Diploma,44,F," R$ 21,526.27 ",17/10/2023
1185,HR,Technician,Technical Diploma,40, ," R$ 8,285.50 ",2018-08-31
1186,Operations,Director,PhD,22,M," R$ 6,348.81 ",2021-02-16
1187,HR,Coordinator,Bachelor,48,F," R$ 7,416.21 ",2017-05-10
1188,HR,Manager,Master,64,M," R$ 8,370.44 ",2012-02-03
1189, ,Specialist,Master,46,F," R$ 7,673.84 ",2017-05-31
1190,Marketing, ,Bachelor,27,M," R$ 8,973.47 ",2014-03-24
1191, ,Coordinator,Bachelor,57,F,,2016-05-15
1192,Logistics,Specialist,Master,38, ," R$ 6,844.94 ",03/12/2016
1193,Operations,Director,PhD,33,M," R$ 9,204.87 ",2023-10-31
1194,,Coordinator,Bachelor,46,M, ,29/04/2016
1195,Operations,Specialist,Master,31,F," R$ 7,386.54 ",2020-03-29
1196,Legal,Manager,Master,60,F," R$ 20,081.01 ",2018-05-23
1197,Finance,Specialist,Master,45,F," R$ 19,303.24 ",2010-02-26
1198,Marketing,Specialist,Master,32,M," R$ 9,083.55 ",2012-09-10
1199,Operations,Specialist,Master,45,M," R$ 9,157.96 ",09/05/2022
1200,Logistics,Analyst,Bachelor,24,F," R$ 6,134.85 ",2010-08-26
1201,Logistics,Technician,Technical Diploma,61,M," R$ 8,496.93 ",2023-05-19
1202,Operations,Assistant,High School,41,M," R$ 7,925.92 ",2011-05-16
1203,Legal,Assistant,High School,44,F," R$ 16,707.61 ",25/05/2010
1204,HR, ,Technical Diploma,26,F," R$ 6,611.04 ",2012-11-15
1205,Legal,Technician,Technical Diploma,57,M," R$ 17,549.30 ",2019-02-07
1206,HR,Coordinator,Bachelor,34,F," R$ 7,143.06 ",2013-01-02
1207,Legal,Director,PhD,57,M," R$ 20,865.53 ",2017-08-18
1208,HR,Analyst,Bachelor,27,M," R$ 6,411.87 ",2011-03-25
1209,Marketing,Assistant,High School,23,F," R$ 7,618.57 ",03/03/2018
1210,HR,Manager,Master,50,F," R$ 8,721.91 ",2010-07-26
1211,Legal,Technician,Technical Diploma,26,M," R$ 15,283.59 ",2010-10-02
1212,Finance,Assistant,High School,36,M," R$ 18,156.94 ",07/01/2010
1213,Logistics,Analyst,Bachelor,29,F," R$ 5,366.81 ",2013-08-21
1214,Marketing,Technician,Technical Diploma,55,F," R$ 12,794.78 ",09/11/2020
1215,Finance,Analyst,Bachelor,58,M," R$ 21,935.13 ",2019-05-25
1216,Marketing,Assistant,High School,47,M,,2019-06-03
1217,Legal,Assistant,High School,30,M," R$ 14,719.87 ",13/06/2022
1218,Logistics,Analyst,Bachelor,29,F," R$ 5,715.24 ",2019-12-31
1219,,Director,PhD,35,M," R$ 17,130.63 ",13/07/2019
1220,Marketing,Technician,Technical Diploma,46,M," R$ 11,039.85 ",2012-01-06
1221,Legal,Assistant,High School,55,F," R$ 18,013.06 ",14/03/2011
1222,Finance,Manager,Master,24,M," R$ 14,260.08 ",2023-12-20
1223,Operations,Coordinator,Bachelor,53,F,,2011-06-28
1224,Legal,Coordinator,Bachelor,57,M, ,02/07/2013
1225,Finance,Analyst,Bachelor,26,F," R$ 16,775.72 ",2023-10-10
1226,Marketing,Director,PhD,36,M," R$ 9,471.79 ",2021-02-10
1227,Logistics,Assistant,High School,49, ," R$ 7,595.45 ",2016-05-13
1228,Finance,Director,PhD,39,M," R$ 20,650.59 ",2021-10-28
1229,Marketing,Technician,Technical Diploma,32,M," R$ 8,638.85 ",2012-08-03
1230,Operations,Technician,Technical Diploma,31,M," R$ 7,871.31 ",2020-01-19
1231,HR,Analyst,Bachelor,25,M," R$ 5,918.51 ",2014-07-19
1232,IT,Technician,Technical Diploma,41,M," R$ 15,178.11 ",2016-05-08
1233,Logistics,Director,PhD,26,F," R$ 4,746.00 ",2012-01-30
1234,Legal,Specialist,Master,22,F," R$ 11,885.17 ",2011-09-21
1235, ,Analyst,Bachelor,34,F," R$ 12,956.94 ",2011-03-09
1236,Marketing,Specialist,Master,43,F," R$ 12,805.59 ",08/09/2017
1237,Legal,Analyst,Bachelor,34,F," R$ 14,939.12 ",2010-12-01
1238,Marketing,Coordinator,Bachelor,36,F," R$ 10,023.80 ",2021-12-23
1239,Logistics,Coordinator,Bachelor,30,M," R$ 5,648.06 ",02/12/2014
1240,Legal,Assistant,High School,24,M," R$ 14,422.48 ",28/11/2016
1241, ,Technician,Technical Diploma,23,M," R$ 16,943.18 ",2016-04-19
1242,Legal,Manager,Master,33,F," R$ 15,906.26 ",2020-12-09
1243,Operations,Manager,Master,45,F," R$ 8,854.01 ",2018-05-29
1244,Logistics,Director,PhD,39,M," R$ 6,059.47 ",2014-09-01
1245,Legal,,Master,57,F," R$ 21,266.16 ",12/07/2022
1246,Finance,Coordinator,Bachelor,46,M," R$ 21,812.11 ",2014-09-06
1247,Logistics,Director,PhD,36,M," R$ 5,852.99 ",2014-02-16
1248,Marketing,Manager,Master,22,M," R$ 7,903.95 ",2014-08-07
1249,Operations,Assistant,High School,29, ," R$ 8,575.53 ",2023-01-23
1250,HR,Assistant,High School,58,M," R$ 8,927.93 ",2015-03-20
1251,Logistics,Specialist,Master,28,M," R$ 5,582.40 ",18/10/2011
1252,HR,Analyst,Bachelor,56,," R$ 9,783.80 ",2018-02-28
1253,Logistics,Director,PhD,59,M," R$ 7,555.62 ",2019-05-22
1254,Operations,Manager,Master,37,F," R$ 9,950.84 ",2012-04-10
1255,Logistics,Manager,Master,38,F," R$ 6,881.42 ",07/12/2017
1256,Operations,Specialist,Master,59,M," R$ 11,191.90 ",05/09/2019
1257,Legal,Technician,Technical Diploma,51,M," R$ 19,973.60 ",2016-08-28
1258,Operations,Director,PhD,58,M," R$ 11,217.30 ",07/02/2015
1259,Operations,Manager,Master,39,F," R$ 9,173.65 ",2010-07-31
1260,Logistics,Specialist,Master,57,M," R$ 8,715.30 ",2011-05-15
1261,Legal,Coordinator,Bachelor,33, ," R$ 16,923.93 ",2019-01-24
1262,IT,Assistant,High School,49,M," R$ 14,630.93 ",2018-04-18
1263,Legal,Analyst,Bachelor,32,F," R$ 16,728.46 ",2021-06-20
1264,Logistics,Director,PhD,64,M," R$ 9,595.08 ",2022-07-08
1265,Marketing,Analyst,Bachelor,27, ," R$ 9,482.34 ",2013-03-03
1266,Operations,Technician,Technical Diploma,47,M," R$ 10,743.27 ",13/07/2015
1267,Finance,Specialist,Master,37,M," R$ 16,190.45 ",2015-07-23
1268,Operations,Coordinator,Bachelor,59,F," R$ 11,875.67 ",14/01/2023
1269,Legal,Specialist,Master,30,F," R$ 13,927.53 ",26/04/2013
1270,Logistics,Coordinator,Bachelor,39,F," R$ 5,717.98 ",2013-06-24
1271,Marketing,Coordinator,Bachelor,54,F," R$ 11,598.04 ",2011-08-18
1272,Finance,Assistant,High School,40,F," R$ 16,698.68 ",2020-08-16
1273,IT,Technician,Technical Diploma,30,F," R$ 11,670.17 ",2017-11-23
1274,IT,Manager,Master,63,F," R$ 17,762.65 ",16/08/2019
1275,Logistics,Director,PhD,30,M," R$ 5,727.09 ",2015-06-07
1276,HR,Specialist,Master,26,M," R$ 5,918.79 ",2020-11-04
1277,Operations,Coordinator,Bachelor,44,F," R$ 8,870.79 ",2013-07-08
1278,HR, ,Bachelor,63,M," R$ 10,054.40 ",2012-05-03
1279,Finance,Coordinator,Bachelor,55,F," R$ 23,387.36 ",2012-04-17
1280,Finance,Coordinator,Bachelor,59,F," R$ 20,596.32 ",06/01/2023
1281,Logistics,Technician,Technical Diploma,43,F," R$ 7,760.86 ",26/07/2013
1282,IT,Assistant,High School,26,F," R$ 10,347.78 ",29/06/2023
1283,IT,Manager,Master,22,F," R$ 9,084.85 ",2019-06-02
1284,Finance,Director,PhD,47,F," R$ 24,956.29 ",2023-03-07
1285,IT,Technician,Technical Diploma,39,F," R$ 13,457.65 ",2020-07-17
1286,HR,Analyst,Bachelor,47,F," R$ 7,091.38 ",2023-11-02
1287,Finance,Analyst,Bachelor,36,F," R$ 18,782.94 ",2018-03-01
1288,Operations,Manager,Master,23,F," R$ 7,339.00 ",2012-02-07
1289,Logistics,Analyst,Bachelor,36,M," R$ 5,981.72 ",2015-05-25
1290, ,Coordinator,Bachelor,32,M," R$ 9,008.92 ",2022-10-02
1291,IT,Director,PhD,41,F," R$ 13,462.69 ",2022-02-20
1292,HR,Assistant,High School,63,F," R$ 10,383.49 ",2019-08-21
1293,Logistics,Analyst,Bachelor,38,F," R$ 5,603.05 ",2023-05-07
1294,Marketing,Manager,Master,26,M," R$ 9,261.43 ",2013-02-26
1295,Logistics,Technician,Technical Diploma,54,M," R$ 6,665.67 ",05/08/2020
1296,HR,Director,PhD,46,M," R$ 8,754.78 ",2018-07-01
1297,HR,Assistant,High School,28,M," R$ 6,267.67 ",2016-10-07
1298,HR,Analyst,Bachelor,55,F," R$ 9,000.50 ",10/06/2020
1299,IT,Manager,Master,36,M," R$ 13,563.17 ",2020-12-23
1300,Marketing,Technician,Technical Diploma,34,F," R$ 9,818.24 ",2018-11-14
1301,Logistics,Manager,Master,53,F, ,2013-06-28
1302,Marketing,Specialist,Master,60,F," R$ 14,577.62 ",2019-04-12
1303,Finance,Manager,Master,35,F," R$ 18,495.08 ",2018-02-28
1304,Finance, ,Technical Diploma,41,M," R$ 18,729.41 ",22/08/2010
1305,Finance,Manager, ,37,M," R$ 17,125.52 ",2012-06-15
1306,Marketing,Analyst,Bachelor,51,M," R$ 11,790.01 ",20/11/2023
1307,Finance,Specialist,Master,62,M," R$ 20,508.09 ",2016-09-22
1308,IT,Director,PhD,40, ," R$ 14,206.73 ",2014-04-21
1309,Logistics,Director,,43,F," R$ 7,546.26 ",2011-10-08
1310,Legal,Manager,Master,58,M," R$ 19,194.12 ",2016-03-09
1311,Logistics,Specialist,Master,31,F," R$ 5,968.59 ",2013-02-04
1312,Operations,Director,PhD,29,M," R$ 6,734.16 ",2016-02-05
1313,Marketing,Specialist,Master,50,M," R$ 12,019.57 ",2015-09-19
1314,Logistics,Manager,Master,35,M," R$ 5,411.84 ",2014-02-08
1315,Finance,Director,PhD,32,F," R$ 15,074.35 ",2018-04-18
1316,Logistics,Analyst,Bachelor,51,F," R$ 7,678.00 ",2013-01-22
1317,Legal,Technician,Technical Diploma,54,M," R$ 19,010.42 ",2023-12-28
1318,HR,Assistant,High School,63,F," R$ 10,095.72 ",2010-03-19
1319,Marketing,Technician,Technical Diploma,55,M,,2016-03-01
1320,IT,Director,PhD,60,M," R$ 17,297.46 ",2012-05-14
1321,Operations,Assistant,High School,58,," R$ 11,649.49 ",2021-08-14
1322,IT,Assistant,High School,63,F," R$ 17,022.90 ",23/08/2023
1323,Finance,Specialist,Master,58,F," R$ 20,214.76 ",2020-12-02
1324,HR,Director, ,26,F," R$ 7,063.06 ",30/03/2014
1325,HR,Analyst,Bachelor,62,F," R$ 9,879.04 ",22/04/2021
1326,Marketing,Specialist,Master,64,M," R$ 13,474.02 ",2017-04-01
1327,Logistics,Assistant,High School,26,M," R$ 5,294.53 ",2012-08-03
1328,Logistics,Analyst,Bachelor,38,M," R$ 6,420.16 ",2022-11-01
1329,IT, ,High School,40,F," R$ 13,890.00 ",2019-09-26
1330,Logistics,Director,PhD,47,M," R$ 7,091.18 ",14/04/2011
1331,Legal,Assistant,High School,23,F," R$ 12,235.02 ",08/04/2010
1332,IT,Director,PhD,35,M," R$ 13,859.39 ",2010-08-13
1333,HR,Technician,Technical Diploma,49,F," R$ 9,233.37 ",2022-07-02
1334,IT,Analyst,Bachelor,25,M," R$ 10,345.78 ",2015-01-19
1335,Logistics,Assistant,High School,24,F," R$ 4,331.93 ",2022-02-27
1336,Logistics,Manager,Master,36,M," R$ 6,243.65 ",2010-12-10
1337,Finance,Coordinator,Bachelor,43,M," R$ 21,418.25 ",2013-04-01
1338,Operations,Assistant,High School,63,M," R$ 11,004.86 ",2018-03-31
1339,IT,Technician,Technical Diploma,40,F," R$ 14,134.07 ",16/12/2021
1340,HR,Coordinator,Bachelor,55,F," R$ 8,378.10 ",15/06/2020
1341,Marketing,Manager,Master,31,F," R$ 9,095.32 ",2016-05-07
1342,Logistics,Analyst,Bachelor,55,M," R$ 8,659.93 ",2010-12-08
1343,IT,Technician, ,37,M," R$ 12,354.76 ",2017-02-15
1344,Marketing,Technician,Technical Diploma,58,F," R$ 12,581.72 ",2015-08-09
1345,IT,Director,PhD,57,M," R$ 17,419.98 ",2013-08-18
1346,Legal,Coordinator,Bachelor,43,F," R$ 16,376.57 ",2019-05-13
1347,IT,Manager,Master,53,F," R$ 15,649.38 ",2014-03-02
1348,Logistics,Technician,Technical Diploma,38,F," R$ 6,641.13 ",2019-12-02
1349,HR,Technician,Technical Diploma,30,F," R$ 6,458.77 ",2016-11-29
1350,Operations,Assistant,High School,54,M," R$ 12,470.57 ",19/01/2018
1351,Logistics,Technician, ,54,M," R$ 7,834.00 ",2014-12-22
1352,,Analyst,Bachelor,23,F," R$ 5,191.54 ",2014-09-07
1353,Logistics,Director,PhD,35,F," R$ 6,234.24 ",2019-07-09
1354,Legal,Manager,Master,58,F," R$ 22,005.36 ",2023-12-13
1355,Finance,Technician,Technical Diploma,54,M," R$ 22,907.71 ",2014-02-10
1356,Operations,Analyst,Bachelor,22,F," R$ 6,174.43 ",2014-03-17
1357,Logistics,Assistant,High School,43,F," R$ 8,849.44 ",2017-02-27
1358,Logistics,Analyst,Bachelor,51,F," R$ 8,654.38 ",2020-08-10
1359,Legal,Manager,Master,48,F," R$ 19,601.54 ",2016-08-21
1360,Legal,Coordinator,Bachelor,54,F," R$ 20,658.52 ",2013-07-15
1361,HR,Assistant,High School,37,M," R$ 7,543.00 ",2019-12-01
1362,Operations,Director,PhD,31,F,,2016-06-16
1363,Legal,Specialist,Master,48,F," R$ 18,834.91 ",2015-05-31
